Code;VSMI01M;VSMI02M;VSMI03M;VSMI01Q;VSMI02Q;VSMI03Q
17.10.12;13.5055;11.2347;12.4469;13.8963;15.3135;13.9529
18.10.12;13.5055;11.3603;12.5718;13.9439;15.4233;14.138
19.10.12;13.5055;11.3474;12.7858;14.1011;15.636;14.3568
22.10.12;11.6267;12.76;12.7858;14.2334;15.7509;14.4127
23.10.12;13.4617;14.0792;13.7776;15.195;16.5941;14.8858
24.10.12;13.1994;14.0135;13.7009;15.1296;16.46;14.7667
25.10.12;12.7652;13.7487;13.4742;14.8822;16.1831;14.5218
26.10.12;12.625;13.8625;13.4672;14.8662;16.1541;14.5035
29.10.12;13.4696;14.2442;13.7101;14.9348;16.1485;14.5147
30.10.12;12.8863;13.9112;13.3146;15.1206;15.8637;14.421
31.10.12;13.0275;13.8518;13.3632;15.2676;15.9137;14.4049
01.11.12;12.5066;13.4139;12.951;14.8544;15.5429;14.2677
02.11.12;11.9841;12.8902;12.5908;14.5008;15.2803;14.0479
05.11.12;13.4722;13.1459;12.7984;14.6426;15.337;14.1212
06.11.12;12.7657;13.1235;12.5237;14.3236;15.1211;13.9964
07.11.12;13.6081;13.6456;12.9036;14.6139;15.3338;14.1362
08.11.12;13.233;13.7371;12.845;14.6174;15.3213;14.1318
09.11.12;13.1543;13.522;12.9182;14.7831;15.4667;14.2144
12.11.12;13.5092;13.6593;12.9092;14.736;15.4592;14.2231
13.11.12;13.4114;13.0152;12.6823;14.4924;15.235;14.0794
14.11.12;13.9884;13.4833;12.9125;14.6928;15.4087;14.2132
15.11.12;13.9884;14.1122;13.3785;15.2893;15.8487;14.3616
16.11.12;13.9884;14.2231;13.3734;15.3458;15.8107;14.2789
19.11.12;12.459;11.8083;13.3734;14.1633;14.9319;13.843
20.11.12;12.2092;11.6129;12.5853;13.7879;14.6244;13.6589
21.11.12;11.7319;11.1509;12.0612;13.5137;14.365;13.3743
22.11.12;11.3335;10.8177;11.7369;13.0839;14.0373;13.2664
23.11.12;11.1288;10.8252;11.629;13.0262;13.9225;13.0966
26.11.12;11.649;11.2219;12.0009;13.3245;14.2051;13.3127
27.11.12;11.6603;10.9939;11.7711;13.1466;14.0601;13.1861
28.11.12;11.1384;10.8482;11.7223;12.9767;13.845;13.0804
29.11.12;10.7764;10.4493;11.332;12.7162;13.5892;12.875
30.11.12;10.9398;10.5257;11.4548;12.6412;13.6176;13.0129
03.12.12;11.9646;11.1012;11.8805;12.9278;13.8131;13.1658
04.12.12;12.0505;11.4291;12.1001;12.8376;13.9432;13.2353
05.12.12;12.674;12.2618;12.8631;13.4293;14.3679;13.5465
06.12.12;12.3873;12.0471;12.5832;13.4422;14.135;13.3962
07.12.12;12.0085;12.2611;12.9153;13.8877;14.5154;13.6224
10.12.12;12.8014;12.5614;13.0728;13.9084;14.5688;13.7137
